model,source_row,Time,Amount,anomaly_score,predicted_class,raw_mean_reconstruction_error,threshold,distance_from_threshold,largest_error_features,features_at_residual_cap
"Before: capped AE, all 29 inputs",249239,154309.0,1096.99,0.5390639305114746,0,0.5390639305114746,2.5721561908721924,-2.0330922603607178,V3: 3.4577; V19: 2.3332; V4: 1.9657,0
"Before: capped AE, all 29 inputs",249607,154493.0,35.0,2.3428680896759033,0,7.260259628295898,2.5721561908721924,-0.22928810119628906,V14: 55.5138; V20: 28.6028; V10: 26.5741,11
"Before: capped AE, all 29 inputs",249828,154599.0,6.74,2.163869857788086,0,11.10239315032959,2.5721561908721924,-0.40828633308410645,V14: 114.5216; V17: 32.5211; V12: 29.5880,12
"Before: capped AE, all 29 inputs",249963,154657.0,0.77,2.4019131660461426,0,11.133625030517578,2.5721561908721924,-0.1702430248260498,V14: 94.3147; V11: 36.7248; V17: 35.2483,13
"Before: capped AE, all 29 inputs",250761,155054.0,0.77,2.4951012134552,0,10.610594749450684,2.5721561908721924,-0.07705497741699219,V14: 84.4822; V17: 35.3362; V11: 34.9499,13
"Before: capped AE, all 29 inputs",251477,155359.0,0.77,2.591611862182617,1,10.317497253417969,2.5721561908721924,0.019455671310424805,V14: 76.5506; V17: 34.5011; V11: 33.8723,14
"Before: capped AE, all 29 inputs",251866,155535.0,3.9,2.1144180297851562,0,9.874155044555664,2.5721561908721924,-0.45773816108703613,V14: 96.3749; V17: 37.7906; V12: 28.6458,13
"Before: capped AE, all 29 inputs",251881,155542.0,3.14,0.6130092740058899,0,0.6787292957305908,2.5721561908721924,-1.9591469764709473,V15: 5.5723; V4: 4.3336; V10: 2.3365,2
"Before: capped AE, all 29 inputs",251891,155548.0,7.06,0.5861174464225769,0,0.6905148029327393,2.5721561908721924,-1.9860386848449707,V15: 6.4191; V4: 4.6084; V10: 2.2725,2
"Before: capped AE, all 29 inputs",251904,155554.0,94.82,2.4473681449890137,0,11.355621337890625,2.5721561908721924,-0.12478804588317871,V14: 102.9773; V10: 45.0059; V12: 30.4681,13
"Before: capped AE, all 29 inputs",252124,155662.0,0.77,2.488678455352783,0,10.752850532531738,2.5721561908721924,-0.08347773551940918,V14: 91.4219; V17: 45.2132; V12: 38.7212,14
"Before: capped AE, all 29 inputs",252774,155965.0,0.77,2.6196563243865967,1,10.029206275939941,2.5721561908721924,0.0475001335144043,V14: 74.7551; V12: 35.7033; V17: 35.1950,14
"Before: capped AE, all 29 inputs",254344,156685.0,187.11,0.6015341281890869,0,0.6015341281890869,2.5721561908721924,-1.9706220626831055,V3: 2.8582; Amount: 2.2743; V26: 2.1418,0
"Before: capped AE, all 29 inputs",254395,156710.0,7.59,0.8669939637184143,0,0.9349364638328552,2.5721561908721924,-1.7051622867584229,V15: 5.1832; V19: 4.7871; V4: 2.7425,2
"Before: capped AE, all 29 inputs",255403,157207.0,4.97,1.7696049213409424,0,4.285065174102783,2.5721561908721924,-0.80255126953125,V14: 37.4954; V17: 13.6558; V12: 13.4700,9
"Before: capped AE, all 29 inputs",255556,157284.0,0.77,1.8795832395553589,0,4.562850475311279,2.5721561908721924,-0.6925729513168335,V14: 31.2611; V12: 17.5691; V17: 15.5986,7
"Before: capped AE, all 29 inputs",258403,158638.0,296.0,2.165410280227661,0,6.3081278800964355,2.5721561908721924,-0.40674591064453125,V14: 37.4108; V3: 24.2609; V20: 18.3017,13
"Before: capped AE, all 29 inputs",261056,159844.0,45.51,1.621528148651123,0,2.579136371612549,2.5721561908721924,-0.9506280422210693,V14: 13.1555; V12: 11.3642; V4: 10.4035,6
"Before: capped AE, all 29 inputs",261473,160034.0,4.9,1.9556442499160767,0,5.620537281036377,2.5721561908721924,-0.6165119409561157,V14: 54.5850; V17: 21.6687; V16: 15.6122,8
"Before: capped AE, all 29 inputs",261925,160243.0,156.0,1.8108352422714233,0,5.390382289886475,2.5721561908721924,-0.761320948600769,V14: 57.1674; V27: 24.3798; V17: 14.4362,7
"Before: capped AE, all 29 inputs",262560,160537.0,4.69,2.3865561485290527,0,13.780890464782715,2.5721561908721924,-0.18560004234313965,V14: 140.2348; V12: 55.2481; V10: 39.9136,13
"Before: capped AE, all 29 inputs",262826,160665.0,0.77,2.517432928085327,0,13.83388614654541,2.5721561908721924,-0.054723262786865234,V14: 119.2132; V12: 58.5156; V17: 42.2770,13
"Before: capped AE, all 29 inputs",263080,160791.0,1.0,0.5869539976119995,0,0.5869540572166443,2.5721561908721924,-1.9852021932601929,V22: 3.3887; V3: 2.9589; V4: 1.2858,0
"Before: capped AE, all 29 inputs",263274,160870.0,0.77,2.5913641452789307,1,13.151273727416992,2.5721561908721924,0.01920795440673828,V14: 107.7269; V12: 54.0050; V17: 41.1033,13
"Before: capped AE, all 29 inputs",263324,160895.0,127.14,2.8187286853790283,1,12.777044296264648,2.5721561908721924,0.24657249450683594,V17: 63.8028; V18: 44.4520; V10: 34.9498,16
"Before: capped AE, all 29 inputs",263877,161154.0,0.38,2.612678289413452,1,13.125765800476074,2.5721561908721924,0.040522098541259766,V14: 103.1749; V10: 63.8086; V17: 40.8325,15
"Before: capped AE, all 29 inputs",268375,163181.0,39.98,2.540361166000366,0,10.316158294677734,2.5721561908721924,-0.03179502487182617,V18: 57.4333; V17: 39.6431; V16: 34.5291,14
"Before: capped AE, all 29 inputs",272521,165132.0,12.31,1.8143587112426758,0,3.8475842475891113,2.5721561908721924,-0.7577974796295166,V14: 33.5075; V19: 13.5255; V10: 12.8468,7
"Before: capped AE, all 29 inputs",274382,165981.0,0.0,1.4489175081253052,0,2.8647708892822266,2.5721561908721924,-1.1232386827468872,V25: 20.2051; V4: 17.3956; V20: 11.1689,7
"Before: capped AE, all 29 inputs",274475,166028.0,39.9,1.6233983039855957,0,2.5594022274017334,2.5721561908721924,-0.9487578868865967,V14: 19.2679; V12: 9.6106; V25: 6.7757,8
"Before: capped AE, all 29 inputs",275992,166831.0,634.3,0.9621898531913757,0,0.9709299206733704,2.5721561908721924,-1.6099662780761719,V7: 4.2535; V5: 3.8080; V10: 3.0274,1
"Before: capped AE, all 29 inputs",276071,166883.0,19.95,0.46507251262664795,0,0.4650724530220032,2.5721561908721924,-2.107083797454834,V22: 2.1188; V7: 2.0215; V3: 1.4227,0
"Before: capped AE, all 29 inputs",276864,167338.0,349.08,1.7941884994506836,0,4.456949710845947,2.5721561908721924,-0.7779676914215088,V14: 36.6291; V12: 17.4818; V10: 15.8340,8
"Before: capped AE, all 29 inputs",279863,169142.0,390.0,2.371744394302368,0,7.803524971008301,2.5721561908721924,-0.20041179656982422,V14: 64.0659; V10: 41.9513; V12: 31.2344,13
"Before: capped AE, all 29 inputs",280143,169347.0,0.76,2.026965618133545,0,4.060694694519043,2.5721561908721924,-0.5451905727386475,V14: 33.0101; V10: 14.3296; V12: 10.4596,11
"Before: capped AE, all 29 inputs",280149,169351.0,77.89,1.7439446449279785,0,4.354148864746094,2.5721561908721924,-0.8282115459442139,V14: 28.8831; V17: 28.4434; V10: 16.3743,7
"Before: capped AE, all 29 inputs",281144,169966.0,245.0,2.2174882888793945,0,7.505405902862549,2.5721561908721924,-0.35466790199279785,V14: 66.2886; V12: 29.8231; V10: 27.3081,12
"Before: capped AE, all 29 inputs",281674,170348.0,42.53,0.43203073740005493,0,0.43203067779541016,2.5721561908721924,-2.1401255130767822,V3: 3.1620; Amount: 2.2311; V6: 1.8575,0
Improved: label-informed AE,229712,146022.0,1.18,7.241091728210449,1,23.054180145263672,4.922752380371094,2.3183393478393555,V17: 57.1975; V14: 51.1904; V12: 37.1676,5
Improved: label-informed AE,229730,146026.0,2.22,0.8892394304275513,0,0.8892394304275513,4.922752380371094,-4.033513069152832,V4: 3.9801; V17: 1.7086; V3: 0.6503,0
Improved: label-informed AE,230076,146179.0,0.77,7.147739410400391,1,19.975767135620117,4.922752380371094,2.224987030029297,V14: 41.6440; V17: 40.4525; V12: 33.9655,5
Improved: label-informed AE,230476,146344.0,94.82,6.549292087554932,1,19.317121505737305,4.922752380371094,1.626539707183838,V17: 38.6167; V14: 33.4550; V12: 31.1750,5
Improved: label-informed AE,231978,146998.0,8.0,1.3973745107650757,0,1.4341439008712769,4.922752380371094,-3.5253777503967285,V11: 9.2942; V14: 0.9686; V18: 0.6823,1
Improved: label-informed AE,233258,147501.0,996.27,7.158055305480957,1,13.857526779174805,4.922752380371094,2.2353029251098633,V17: 32.0479; V4: 24.7048; V16: 15.6646,5
Improved: label-informed AE,234574,148028.0,0.0,6.9139204025268555,1,33.0452995300293,4.922752380371094,1.9911680221557617,V14: 95.4436; V17: 81.0848; V12: 56.8622,4
Improved: label-informed AE,234632,148053.0,1.59,6.202061176300049,1,12.732414245605469,4.922752380371094,1.279308795928955,V17: 41.3505; V14: 26.0778; V12: 11.8145,3
Improved: label-informed AE,234705,148074.0,0.0,3.6488678455352783,0,5.589140892028809,4.922752380371094,-1.2738845348358154,V17: 24.5222; V4: 8.2093; V12: 5.4371,1
Improved: label-informed AE,235616,148468.0,0.76,8.299320220947266,1,34.67906188964844,4.922752380371094,3.376567840576172,V17: 111.3656; V16: 40.3719; V12: 36.5854,7
Improved: label-informed AE,235634,148476.0,0.76,6.796996116638184,1,30.635929107666016,4.922752380371094,1.8742437362670898,V14: 64.0640; V12: 53.1920; V17: 48.4554,5
Improved: label-informed AE,235644,148479.0,122.68,7.202643871307373,1,30.688308715820312,4.922752380371094,2.2798914909362793,V14: 67.2801; V3: 48.0344; V12: 43.7963,5
Improved: label-informed AE,237107,149096.0,0.0,5.622309684753418,1,11.762646675109863,4.922752380371094,0.6995573043823242,V17: 48.4623; V14: 18.6604; V12: 7.4091,2
Improved: label-informed AE,237426,149236.0,1.0,0.9682774543762207,0,0.9682774543762207,4.922752380371094,-3.954474925994873,V3: 2.8588; V12: 1.4804; V18: 0.9818,0
Improved: label-informed AE,238222,149582.0,1.1,8.993947982788086,1,63.02610778808594,4.922752380371094,4.071195602416992,V14: 177.0716; V17: 167.1176; V16: 59.7286,7
Improved: label-informed AE,238366,149640.0,2.0,6.170772075653076,1,10.271082878112793,4.922752380371094,1.2480196952819824,V17: 35.2008; V16: 12.6155; V14: 10.8271,4
Improved: label-informed AE,238466,149676.0,17.39,1.6857887506484985,0,1.685788631439209,4.922752380371094,-3.2369637489318848,V4: 4.2488; V17: 3.9512; V16: 2.5583,0
Improved: label-informed AE,239499,150138.0,50.0,5.725968837738037,1,10.590231895446777,4.922752380371094,0.8032164573669434,V14: 32.6997; V17: 17.8400; V12: 12.2514,4
Improved: label-informed AE,239501,150139.0,237.26,5.508054733276367,1,10.071767807006836,4.922752380371094,0.5853023529052734,V17: 30.5956; V3: 20.0013; V16: 12.9129,3
Improved: label-informed AE,240222,150494.0,1.0,1.6595261096954346,0,1.6595261096954346,4.922752380371094,-3.263226270675659,V11: 6.0962; V4: 5.4390; V12: 0.6470,0
Improved: label-informed AE,241254,150949.0,9.29,3.529092788696289,0,4.40540885925293,4.922752380371094,-1.3936595916748047,V17: 16.0105; V14: 8.6527; V12: 3.8155,1
Improved: label-informed AE,241445,151029.0,10.7,7.591176509857178,1,29.85776138305664,4.922752380371094,2.668424129486084,V14: 80.9800; V17: 72.3165; V3: 23.2176,6
Improved: label-informed AE,243393,151916.0,0.01,7.862664699554443,1,38.90017318725586,4.922752380371094,2.9399123191833496,V14: 100.8019; V17: 81.0533; V12: 50.2372,5
Improved: label-informed AE,243547,151972.0,57.73,8.278850555419922,1,38.264278411865234,4.922752380371094,3.356098175048828,V14: 106.0381; V17: 76.5892; V3: 34.8257,7
Improved: label-informed AE,243699,152036.0,1.0,8.812182426452637,1,61.735694885253906,4.922752380371094,3.889430046081543,V14: 184.6240; V17: 148.4419; V12: 90.0313,7
Improved: label-informed AE,243749,152058.0,1.0,8.88031005859375,1,59.06793975830078,4.922752380371094,3.9575576782226562,V14: 152.6241; V17: 143.6059; V12: 78.7402,6
Improved: label-informed AE,243848,152098.0,1.0,8.805364608764648,1,57.18983459472656,4.922752380371094,3.8826122283935547,V17: 141.6015; V14: 141.5849; V12: 74.7335,6
Improved: label-informed AE,244004,152165.0,1.0,8.713656425476074,1,55.31803894042969,4.922752380371094,3.7909040451049805,V17: 140.8916; V14: 129.3075; V12: 70.4371,7
Improved: label-informed AE,244333,152307.0,1.0,8.608498573303223,1,53.573020935058594,4.922752380371094,3.685746192932129,V17: 139.8939; V14: 117.9336; V12: 66.3522,7
Improved: label-informed AE,245347,152710.0,2.47,0.6534228324890137,0,0.6534228324890137,4.922752380371094,-4.26932954788208,V4: 3.4072; V17: 0.9468; V16: 0.3948,0
Improved: label-informed AE,245556,152802.0,357.95,0.3620144724845886,0,0.362014502286911,4.922752380371094,-4.5607380867004395,V11: 1.8592; V16: 0.2824; V12: 0.2407,0
Improved: label-informed AE,247673,153653.0,247.86,6.62667179107666,1,14.670919418334961,4.922752380371094,1.7039194107055664,V17: 54.9057; V3: 18.0303; V12: 14.6073,4
Improved: label-informed AE,247995,153761.0,51.37,5.859325408935547,1,11.209185600280762,4.922752380371094,0.9365730285644531,V17: 39.3871; V14: 20.6987; V12: 9.7131,3
Improved: label-informed AE,248296,153875.0,0.0,5.582625865936279,1,10.228504180908203,4.922752380371094,0.6598734855651855,V17: 38.2541; V14: 16.1168; V12: 9.7960,3
Improved: label-informed AE,248971,154181.0,0.76,4.336025714874268,0,5.45790433883667,4.922752380371094,-0.5867266654968262,V17: 13.5401; V14: 13.4350; V3: 7.4942,2
Improved: label-informed AE,249167,154278.0,1504.93,6.250773906707764,1,11.351139068603516,4.922752380371094,1.32802152633667,V17: 35.9011; V3: 16.4033; V12: 12.5274,4
Improved: label-informed AE,249239,154309.0,1096.99,0.5008366107940674,0,0.5008366107940674,4.922752380371094,-4.4219160079956055,V16: 3.0571; V3: 0.7689; V4: 0.1119,0
Improved: label-informed AE,249607,154493.0,35.0,5.74990177154541,1,9.159917831420898,4.922752380371094,0.8271493911743164,V17: 33.2747; V14: 11.0358; V12: 9.9696,3
Improved: label-informed AE,249828,154599.0,6.74,8.463452339172363,1,33.011837005615234,4.922752380371094,3.5406999588012695,V17: 109.8057; V14: 76.9124; V12: 26.0269,6
Improved: label-informed AE,249963,154657.0,0.77,8.065235137939453,1,28.636825561523438,4.922752380371094,3.1424827575683594,V17: 83.9784; V14: 60.1496; V12: 25.0299,6
Improved: label-informed AE,250761,155054.0,0.77,8.328112602233887,1,28.074222564697266,4.922752380371094,3.405360221862793,V17: 91.4788; V14: 48.6206; V16: 20.7169,7
Improved: label-informed AE,251477,155359.0,0.77,8.355220794677734,1,26.97128677368164,4.922752380371094,3.4324684143066406,V17: 91.3762; V14: 41.5842; V16: 20.5694,7
Improved: label-informed AE,251866,155535.0,3.9,8.22868824005127,1,34.65476608276367,4.922752380371094,3.305935859680176,V14: 98.4416; V17: 77.2290; V12: 40.6256,7
Improved: label-informed AE,251881,155542.0,3.14,0.8855220675468445,0,0.8855220079421997,4.922752380371094,-4.037230491638184,V4: 4.9643; V17: 0.9318; V16: 0.7073,0
Improved: label-informed AE,251891,155548.0,7.06,0.7587690949440002,0,0.7587690353393555,4.922752380371094,-4.163983345031738,V4: 5.0832; V17: 0.6322; V16: 0.2038,0
Improved: label-informed AE,251904,155554.0,94.82,7.009834289550781,1,28.76638412475586,4.922752380371094,2.0870819091796875,V14: 71.8793; V17: 62.9785; V12: 37.1703,5
Improved: label-informed AE,252124,155662.0,0.77,7.746325492858887,1,28.91655921936035,4.922752380371094,2.823573112487793,V17: 82.7176; V14: 76.2233; V12: 32.6775,4
Improved: label-informed AE,252774,155965.0,0.77,7.907799243927002,1,26.976150512695312,4.922752380371094,2.985046863555908,V17: 75.5131; V14: 50.3339; V12: 26.2986,6
Improved: label-informed AE,254344,156685.0,187.11,1.1559338569641113,0,1.1559338569641113,4.922752380371094,-3.7668185234069824,V11: 3.8099; V14: 2.9505; V3: 0.9360,0
Improved: label-informed AE,254395,156710.0,7.59,1.0234915018081665,0,1.023491382598877,4.922752380371094,-3.899260997772217,V4: 5.5917; V11: 0.7599; V12: 0.6659,0
Improved: label-informed AE,255403,157207.0,4.97,6.020598888397217,1,11.968022346496582,4.922752380371094,1.097846508026123,V17: 42.9149; V14: 21.9375; V12: 9.7270,3
Improved: label-informed AE,255556,157284.0,0.77,6.196462631225586,1,10.051887512207031,4.922752380371094,1.2737102508544922,V17: 32.4429; V14: 13.7354; V4: 11.1402,4
Improved: label-informed AE,258403,158638.0,296.0,6.670519828796387,1,11.634479522705078,4.922752380371094,1.747767448425293,V17: 33.4495; V3: 20.4288; V14: 12.4377,4
Improved: label-informed AE,261056,159844.0,45.51,5.21885347366333,1,6.10144567489624,4.922752380371094,0.29610109329223633,V17: 12.7790; V12: 10.6012; V14: 10.0741,4
Improved: label-informed AE,261473,160034.0,4.9,6.450899124145508,1,14.657197952270508,4.922752380371094,1.528146743774414,V14: 50.7255; V17: 28.4190; V12: 12.8958,4
Improved: label-informed AE,261925,160243.0,156.0,5.35531759262085,1,13.423090934753418,4.922752380371094,0.43256521224975586,V14: 48.1148; V17: 27.3210; V12: 16.1064,3
Improved: label-informed AE,262560,160537.0,4.69,8.490294456481934,1,42.85652160644531,4.922752380371094,3.56754207611084,V17: 118.7862; V14: 103.2747; V12: 53.4387,7
Improved: label-informed AE,262826,160665.0,0.77,8.215446472167969,1,38.19780731201172,4.922752380371094,3.292694091796875,V14: 91.3159; V17: 90.6861; V12: 49.8226,6
Improved: label-informed AE,263080,160791.0,1.0,0.9074676632881165,0,0.9074676036834717,4.922752380371094,-4.015284538269043,V16: 2.3637; V3: 2.0724; V11: 2.0072,0
Improved: label-informed AE,263274,160870.0,0.77,8.238508224487305,1,36.985042572021484,4.922752380371094,3.315755844116211,V17: 92.7451; V14: 80.9891; V12: 45.1654,6
Improved: label-informed AE,263324,160895.0,127.14,8.533232688903809,1,38.311004638671875,4.922752380371094,3.610480308532715,V17: 126.3324; V16: 58.4590; V3: 37.6138,6
Improved: label-informed AE,263877,161154.0,0.38,7.400357723236084,1,35.52652359008789,4.922752380371094,2.4776053428649902,V14: 103.2670; V17: 53.3367; V12: 44.4488,5
Improved: label-informed AE,268375,163181.0,39.98,7.318792819976807,1,30.031328201293945,4.922752380371094,2.396040439605713,V17: 93.1158; V16: 35.5687; V3: 35.0520,6
Improved: label-informed AE,272521,165132.0,12.31,0.40946874022483826,0,0.40946874022483826,4.922752380371094,-4.513283729553223,V12: 1.0958; V14: 0.8003; V4: 0.5856,0
Improved: label-informed AE,274382,165981.0,0.0,2.1457746028900146,0,3.4195432662963867,4.922752380371094,-2.776977777481079,V4: 19.1901; V11: 4.6792; V14: 1.4570,1
Improved: label-informed AE,274475,166028.0,39.9,4.947569847106934,1,6.0989909172058105,4.922752380371094,0.024817466735839844,V14: 13.9122; V3: 11.2178; V12: 10.6972,4
Improved: label-informed AE,275992,166831.0,634.3,0.5633286237716675,0,0.5633286237716675,4.922752380371094,-4.359423637390137,V12: 1.3583; V16: 1.0440; V3: 0.8491,0
Improved: label-informed AE,276071,166883.0,19.95,1.4744681119918823,0,1.4744679927825928,4.922752380371094,-3.448284149169922,V14: 3.6067; V16: 2.6873; V17: 2.4313,0
Improved: label-informed AE,276864,167338.0,349.08,5.435469627380371,1,10.998644828796387,4.922752380371094,0.5127172470092773,V14: 26.2753; V12: 21.7981; V3: 16.9886,4
Improved: label-informed AE,279863,169142.0,390.0,6.741434097290039,1,21.01622772216797,4.922752380371094,1.8186817169189453,V14: 62.1870; V12: 33.1629; V17: 30.7066,5
Improved: label-informed AE,280143,169347.0,0.76,6.007822513580322,1,12.011892318725586,4.922752380371094,1.0850701332092285,V17: 28.5048; V14: 24.5924; V3: 18.0529,4
Improved: label-informed AE,280149,169351.0,77.89,5.339602947235107,1,10.367354393005371,4.922752380371094,0.41685056686401367,V17: 37.0363; V14: 21.1857; V3: 6.3587,2
Improved: label-informed AE,281144,169966.0,245.0,6.712179183959961,1,20.65757179260254,4.922752380371094,1.7894268035888672,V14: 59.7179; V12: 29.9391; V17: 29.2354,5
Improved: label-informed AE,281674,170348.0,42.53,0.2958509624004364,0,0.2958509624004364,4.922752380371094,-4.626901626586914,V17: 0.5455; V14: 0.4686; V11: 0.4357,0
